Esfera,D [mm],n puntos,v_m [m/s],R^2,v_lim [m/s],dV_L/V_L sist [%],dV_L/V_L aleat [%],dV_L/V_L total [%],mu [Pa.s],d_mu [Pa.s],d_mu/mu [%],Re_c
Esfera 1,4.0,14,0.014573617114015834,0.9999935614721818,0.01612813627284419,0.7695579108123972,2.207252008958018,2.3375587284907193,3.696020357936114,0.12742093180079658,3.44751704430409,0.015993037183230245
Esfera 2,6.0,14,0.03104305750349783,0.9999958106126764,0.03600994670405748,0.7707117251840738,0.8358661839600634,1.1369559537748901,3.7245909054591175,0.07670884788266093,2.059524114990161,0.050707840577729146
Esfera 3,8.0,14,0.051849285382711406,0.9999960855987818,0.06291046626435651,0.7733597911519096,0.4837443234367285,0.9121918312656516,3.790143264843261,0.06071079471847322,1.601807385003529,0.11097242864827397
Esfera 4,10.0,14,0.07696834759058892,0.9999795383450711,0.09749324028141262,0.7782384123395941,0.7450479139986848,1.0773817432064845,3.821413658266009,0.05835568153731634,1.527070523001051,0.20423307036661137
