Esfera,D_mm,F [N],Re,d_Re,Cd,d_Cd
Esfera 1,4.0,0.0022472410410369036,0.017303882418360516,0.0005942940184299381,1356.0117905992115,71.08493313323918
Esfera 2,6.0,0.007584438513499549,0.05795262451132743,0.0015063125911161366,408.0168852921076,12.855200960284142
Esfera 3,8.0,0.01797792832829523,0.1349933176042898,0.0033043093451260294,178.24445243883955,4.971870944218708
Esfera 4,10.0,0.035113141266201624,0.26150131947592814,0.006500583194135219,92.77326334584747,2.776154842108473
